"id","admin_username","broker_username","broker_email","broker_age","broker_income"
"id","admin_username","admin_email","admin_pwd"
"1","garymurphy","garymurphy@example.com","$2y$10$CLaTHhz5TKKdkKvkRvEf6e6q55Nn/7RtYaYtVYWuO53qd9Fr8JjAC"
"2","daisybrooks","daisybrooks@example.com","$2y$10$942kjNufeF0iu/a8bUy7eOOlRdH5DeyaikfywS1p.FWjSsySAHQR."
"3","nadiasmith","nadiasmith@example.com","$2y$10$M/MZ5QFYx3pk.zvMmK1fpu.axhRhqDr59PF01mYuFx7g54gquERhC"
"4","marybarry","marrybarry@example.com","$2y$10$TyesF7.6NE1.Cz3AVSb5lu7paL5cZO.uvAgG4BNbrxQuHtB2bdC4y"
"5","jacobjames","jacobjames@example.com","$2y$10$sR.VXx49.IvbJO7CdOMli.aa8uqHckXePtiNhW6j0FZtlBitV01ZC"
"6","admin","admin@example.com","$2y$10$QikGXDF3JIILsdP7ryCK9OkVsKl9gZyh8qUt410ndT6RLHe7B60Hm"
"id","username","user_email","user_pwd"
"1","janedoe","janedoe@example.com","$2y$10$VQDwMtzzlsmOkpAk.GsbLuanSXTIpwj1ndhyNLosxZHLrEVeMju6C"
"2","joebloggs","joebloggs@example.com","$2y$10$WQfReOTE7Vay1zAIBA6mqOZKoaaO.ngcOPOH4HhO91qN2y3NLKAZa"
"3","jenameza","jenameza@example.com","$2y$10$DpPVfjkU6hS0ADmvkew9dOqq/YEYanCyAI5aMovodYv/akIWeBxe."
